번호,식당(ID),식당명,지역명,식당이미지(URL),식당상태
7708,218723,전동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/462934_2144569567.jpg,운영중
7709,218723,전동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/462934_102287136.jpg,운영중
7710,218723,전동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/462934_1615212719.jpg,운영중
7711,218723,전동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/462934_2037726188.jpg,운영중
7712,218723,전동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/462934_917324876.jpg,운영중
7713,218723,전동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/462934_1866575644.jpg,운영중
7714,218723,전동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/462934_260169581.jpg,운영중
7715,218723,전동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/462934_257084917.jpg,운영중
7716,485836,전주부븸온,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/657529_1827546419.jpg,운영중
7717,485836,전주부븸온,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/657529_986894953.jpg,운영중
7718,485836,전주부븸온,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/657529_1036203878.jpg,운영중
7719,485836,전주부븸온,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/657529_468302398.jpg,운영중
7720,485836,전주부븸온,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/657529_1732988226.jpg,운영중
7721,485836,전주부븸온,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/657529_1686258893.jpg,운영중
